Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14265,0,-0.03,0.00,10.142,0.144,0.479,0,0
14319,0,-0.04,-0.52,9.902,0.254,0.790,0,0
14369,0,-0.02,1.39,9.773,0.244,1.408,0,0
14420,0,-0.01,0.52,9.936,-0.182,1.130,0,0
14471,0,-0.01,0.00,10.151,-0.043,0.785,0,0
14523,0,-0.03,-0.52,10.262,0.096,0.632,0,0
14575,0,-0.05,-0.52,10.022,0.350,0.709,0,0
14626,0,-0.02,1.23,9.869,0.297,0.771,0,0
14678,0,-0.02,0.00,9.950,0.172,0.939,0,0
14729,0,-0.02,0.00,10.041,0.038,1.001,0,0
14781,0,-0.02,0.48,10.036,0.163,0.967,0,0
14833,0,-0.02,0.00,9.993,0.220,0.728,0,0
14884,0,-0.02,0.00,10.060,0.297,0.642,0,0
14936,0,-0.02,0.00,10.008,0.244,0.690,0,0
14987,0,-0.02,0.00,10.022,0.206,0.560,0,0
15039,0,-0.03,-1.23,10.017,0.182,0.474,0,0
15091,0,-0.03,0.00,10.051,0.201,0.522,0,0
15141,0,-0.02,0.48,10.013,0.148,0.484,0,0
15193,0,-0.02,0.00,10.022,0.124,0.493,0,0
15243,0,-0.02,0.00,10.017,0.134,0.455,0,0
15294,0,-0.02,0.00,10.032,0.105,0.340,0,0
15344,0,0.01,0.00,10.094,0.048,0.268,0,0
15394,0,0.04,1.89,10.108,-0.014,0.278,0,0
15445,0,0.01,-1.23,10.060,-0.005,0.359,0,0
15497,0,0.02,0.00,10.056,-0.024,0.407,0,0
15549,0,-0.01,-0.52,10.075,-0.019,0.354,0,0
15600,0,0.01,0.00,10.056,-0.014,0.354,0,0
15652,0,-0.03,-1.38,10.036,-0.034,0.316,0,0
15703,0,-0.04,-0.48,10.008,-0.019,0.254,0,0
15755,0,-0.03,0.00,10.051,-0.014,0.187,0,0
15807,0,-0.03,0.00,10.084,0.024,0.259,0,0
15858,0,-0.04,0.00,10.041,0.010,0.383,0,0
15910,0,-0.03,0.48,10.008,0.038,0.369,0,0
15961,0,-0.03,0.00,10.075,0.000,0.225,0,0
16013,0,-0.07,-1.30,10.046,-0.038,0.235,0,0
16065,0,-0.07,0.00,10.027,-0.043,0.239,0,0
16115,0,-0.07,0.00,9.989,0.029,0.144,0,0
16166,0,-0.07,0.00,10.041,0.072,0.163,0,0
16216,0,-0.07,0.00,10.060,0.005,0.287,0,0
16267,0,-0.07,0.00,10.056,-0.024,0.373,0,0
16317,0,-0.07,0.00,10.008,0.010,0.254,0,0
